CustomerId,Surname,Geography,RowNumber,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
7b69812cb7cf8f312db2ffcba150d6ebf3aaf01860503a3f9038fcff25f5e5f7,fdcd57e82ffc3f0a94b4c3d966a7c6d891d1e54894492f7a98cbb4cae869a20c,7a1ca4ef7515f7276bae7230545829c27810c9d9e98ab2c06066bee6270d5153,1,619,Female,42,2,0.0,1,1,1,101348.88,1
7a776f3f5a848260f9214f095abc27de3f3781b7d802ab130a0c142782c72df0,21f5358c1fd3b713a0b8d13634c18d381383d67b2ab0f04c1282cd283c49d82d,8ef41e6f4b07432a0cb4eb7a8774e7a3878fd3e385f49aa09b406768467db228,2,608,Female,41,1,83807.86,1,0,1,112542.58,0
2b53254cb3852065c2b4a522c02b446c1b53b5bfe642d728098ea82f28c1aded,b839933c7be156a656ee5b30a2c7c034ba1851c635166e51e7f47c1a4661e14a,7a1ca4ef7515f7276bae7230545829c27810c9d9e98ab2c06066bee6270d5153,3,502,Female,42,8,159660.8,3,1,0,113931.57,1
21f504abf5e378a5d44876cf1ceee9b5eeaaf8256f1eb169923955d5e9240463,cb1edc7273ba5f307f4914574aaf642914fbfb38ab7572a2266c8d9930fb3030,7a1ca4ef7515f7276bae7230545829c27810c9d9e98ab2c06066bee6270d5153,4,699,Female,39,1,0.0,2,0,0,93826.63,0
6a25d3f4270c22bbeaab8a0d13a84ed3521be1ea7f062c03d7ee9a0ebec983d4,483d4bce16af8025b73a0b055655a34de45b7c3628e091f1cd350ad5cdcd89b7,8ef41e6f4b07432a0cb4eb7a8774e7a3878fd3e385f49aa09b406768467db228,5,850,Female,43,2,125510.82,1,1,1,79084.1,0
50f4ebc3dda3d8020d15fe1fa9b3fc48914b4ad6da4ceef2eda71e2d01720fa6,60a5d1bf57ab7e5317440b79ad55d62f574e132fd7efee2ea5956821339b4c43,8ef41e6f4b07432a0cb4eb7a8774e7a3878fd3e385f49aa09b406768467db228,6,645,Male,44,8,113755.78,2,1,0,149756.71,1
77ab1604dd66cdedbd6d25d9454d025ecbf8e9976ed39bb2803739aaa927b3d7,9329691ea9526f3715b9190529b5cfa7af9ea68c9cb21a4f907e56e1f2fd2357,7a1ca4ef7515f7276bae7230545829c27810c9d9e98ab2c06066bee6270d5153,7,822,Male,50,7,0.0,2,1,1,10062.8,0
3fe847f893d2bd158b1923d07adae7cb5cba02a5ceb33eb063852051ed9d1fac,9cdd05439a74cd6500e844c61eb36a3d8dcc0730917172a33f9a31c556a7d720,80db4ccdca106d37b920206331fcfe3e9e50a9e763d89b54ce3ad5ac8cf30f03,8,376,Female,29,4,115046.74,4,1,0,119346.88,1
633595eb84f3d1306c7f73c649a34d21404bfb2524a33cc84bf4a533ffa13fd2,30efdfb52ff67f80dab7cb89dcfe0eec8412966cfe58324993674b4616d6bd11,7a1ca4ef7515f7276bae7230545829c27810c9d9e98ab2c06066bee6270d5153,9,501,Male,44,4,142051.07,2,0,1,74940.5,0
65b3ba9f1090ee12103b7f681ba9525abb4c6820628488220a2a6c324572d4fb,1bb56127cc07854ae4b1821c8dedc50953018a297bf2c8e1f36eb8129b568da2,7a1ca4ef7515f7276bae7230545829c27810c9d9e98ab2c06066bee6270d5153,10,684,Male,27,2,134603.88,1,1,1,71725.73,0
